PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ACTIVITY_QUALIFIER ,EC50_MICROM,EC50_95CI_LOW,EC50_95CI_HIGH,HILLSLOPE,FIT_PERCENT_SPAN,RSQR,N_POINTS,PERCENT_SPAN,RAWMCF_0.01_MICROM (0.01uM),RAWMCF_0.03_MICROM (0.03uM),RAWMCF_0.10_MICROM (0.10uM),RAWMCF_0.32_MICROM (0.32uM),RAWMCF_1.00_MICROM (1.00uM),RAWMCF_3.17_MICROM (3.17uM),RAWMCF_10.0_MICROM (10.0uM),RAWMCF_31.6_MICROM (31.6uM),RAWMCF_100.0_MICROM (100.0uM)
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Qualifier for EC50,Effective concentration of half maximal event count as estimated by curve fit,Lower 95% confidence interval boundary for the EC50 curve fit estimate,Upper 95% confidence interval boundary for the EC50 curve fit estimate,Hill slope estimate for the fitted dose response curve,Percent response based on bottom and top span from EC50 curve fit estimate ,Correlation coefficient for the fitted dose response curve,Number of data points for each dose response curve,Percent response based on data points,Median channel fluorescence measured with 0.01 micromolar concentration of test compound,Median channel fluorescence measured with 0.03 micromolar concentration of test compound,Median channel fluorescence measured with 0.10 micromolar concentration of test compound,Median channel fluorescence measured with 0.32 micromolar concentration of test compound,Median channel fluorescence measured with 1.00 micromolar concentration of test compound,Median channel fluorescence measured with 3.17 micromolar concentration of test compound,Median channel fluorescence measured with 10.0 micromolar concentration of test compound,Median channel fluorescence measured with 31.6 micromolar concentration of test compound,Median channel fluorescence measured with 100.0 micromolar concentration of test compound
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,MICROMOLAR,NONE,PERCENT,NONE,NONE,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,0.01,0.03,0.1,0.32,1,3.17,10,31.6,100
1,24834766,16196702,CN(C)C(CC1=CC=CC=C1)C(=O)C2=CC=CS2.Cl,Inactive,0,,,,,,,,,,7,2.8,260.9,243.1,247.5,266.3,255.5,248.9,257.2,254.3,253.6
2,14722067,1452362,CC(C)N1C(=NN=N1)SCC(=O)N2CCN(CC2)C(=O)C3=CC=CO3,Inactive,0,,,,,,,,,,7,-4.02,226.2,234.4,230.5,228.7,230.3,228.4,226.4,224.5,235.3
3,24834100,4215262,CCC1=CC=C(C=C1)NC(=O)C(C)OC(=O)C2=C(N=CC=C2)OCC,Inactive,0,,,,,,,,,,7,-0.04,254.7,255.1,261,261.1,254.9,259.2,259.6,258.1,254.8
4,24787839,2940489,CC1C=CCC2C1C(=O)N(C2=O)C3=CC=C(C=C3)OC(=O)C4=CC=CS4,Inactive,0,,,,,,,,,,7,0.47,254.7,248.5,254,249.3,250.3,252.5,258.1,263.2,253.5
5,14721901,3226716,C1CCC(CC1)NC(=O)NCCCN2CCCC2=O,Inactive,0,,,,,,,,,,7,1.82,258,252.3,264.3,259,254.8,258.5,260.5,272,253.3
6,24816005,7532038,CCOC1=CC=CC=C1NC(=O)CSC2=NN=C3N2N=C(C=C3)C4=CN=CC=C4,Inactive,0,,,,,,,,,,7,-3.17,255.7,258.9,259.5,257.8,263.8,262.5,262.9,259.4,263.8
7,14730146,2225555,C1=CC=C(C(=C1)OCC(=O)NCC2=CC=CC=N2)Br,Inactive,0,,,,,,,,,,7,-0.88,249.4,245.7,249,248.2,251.8,249,240.7,246.7,251.6
8,17511881,6869437,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N/N=C/C3=CC(=C(C=C3)OC(=O)C4=CC=CO4)OC)CC5=CC=CC=C5,Inactive,0,,,,,,,,,,7,-1.99,250.9,255.7,255.3,252.1,254.2,249.5,256.1,254.2,255.9
9,14728069,1798806,COC(=O)/C(=C\OCCOC1=CC=C(C=C1)Cl)/C2=CC=CC=C2,Inactive,0,,,,,,,,,,7,0.88,250.5,241.7,244.7,236.6,244.3,251.5,247.8,250.6,248.3
10,22405757,4608646,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)NC(=O)C3=CC=C(C=C3)Cl)NC4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,7,10.92,229.9,218.4,223.7,222.3,224.4,221,230.9,216.7,204.8
11,4263496,2962706,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CCC3=CC=CC=C3,Inactive,0,,,,,,,,,,7,3.68,233.8,226.1,230.7,232.4,227,233,227.1,231.6,225.2
12,22411031,4637224,CC1=CC=C(C=C1)C(=O)CCC(=O)NC2=CC(=C(C=C2)Cl)S(=O)(=O)NC3=CC(=CC=C3)Cl,Inactive,0,,,,,,,,,,7,1.11,242.5,235.4,237.3,238.7,242.7,244.7,237.7,237.7,239.8
13,4259251,925199,CC1=CC=C(C=C1)S(=O)(=O)N(C)CC(=O)N2CCC3=CC=CC=C32,Inactive,0,,,,,,,,,,7,-0.9,254.2,249.1,256.9,247.4,256.5,255.6,256.4,253.3,256.5
14,24799131,16190802,C1CN(C(CN1CC2=CC3=C(C=C2)N=CC=C3)CCO)CC4=CC=CC=C4,Inactive,0,,,,,,,,,,7,-1.93,238.1,244.7,231.5,241.4,235.8,242.2,242.6,239,242.7
15,14736569,1262275,CCC(CC)C(=O)NC1=CC(=CC=C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)C(CC)CC,Inactive,0,,,,,,,,,,7,2,234.6,230.4,233.3,227.4,238.2,238.4,235.8,230.4,229.9
16,24790935,135412312,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N=CC3=C(CC(CC3=O)(C)C)O,Inactive,0,,,,,,,,,,7,0.2,252.2,251,250.9,255.3,254.9,251.2,251.1,248.2,251.7
