PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ACTIVITY_QUALIFIER ,EC50_MICROM,EC50_95CI_LOW,EC50_95CI_HIGH,HILLSLOPE,FIT_PERCENT_SPAN,RSQR,N_POINTS,PERCENT_SPAN,RAWMCF_0.01_MICROM (0.01uM),RAWMCF_0.03_MICROM (0.03uM),RAWMCF_0.10_MICROM (0.10uM),RAWMCF_0.32_MICROM (0.32uM),RAWMCF_1.00_MICROM (1.00uM),RAWMCF_3.17_MICROM (3.17uM),RAWMCF_10.0_MICROM (10.0uM),RAWMCF_31.6_MICROM (31.6uM),RAWMCF_100.0_MICROM (100.0uM)
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Qualifier for EC50,Effective concentration of half maximal event count as estimated by curve fit,Lower 95% confidence interval boundary for the EC50 curve fit estimate,Upper 95% confidence interval boundary for the EC50 curve fit estimate,Hill slope estimate for the fitted dose response curve,Percent response based on bottom and top span from EC50 curve fit estimate ,Correlation coefficient for the fitted dose response curve,Number of data points for each dose response curve,Percent response based on data points,Median channel fluorescence measured with 0.01 micromolar concentration of test compound,Median channel fluorescence measured with 0.03 micromolar concentration of test compound,Median channel fluorescence measured with 0.10 micromolar concentration of test compound,Median channel fluorescence measured with 0.32 micromolar concentration of test compound,Median channel fluorescence measured with 1.00 micromolar concentration of test compound,Median channel fluorescence measured with 3.17 micromolar concentration of test compound,Median channel fluorescence measured with 10.0 micromolar concentration of test compound,Median channel fluorescence measured with 31.6 micromolar concentration of test compound,Median channel fluorescence measured with 100.0 micromolar concentration of test compound
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,MICROMOLAR,NONE,PERCENT,NONE,NONE,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,0.01,0.03,0.1,0.32,1,3.17,10,31.6,100
1,862610,663844,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCCCN5C=CN=C5,Active,100,,,=,4.05,0.31,52.97,-0.7287,107,0.8975,7,97.33,209.8,218.1,216.9,197.5,182.9,54.5,122.4,8.6,5.6
2,7978261,2925160,CCOC(=O)C1CCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,49,,,=,6.65,1.82,24.27,-0.5491,66,0.9909,7,53.74,248.6,253,248.5,224.4,209.3,182.7,167.7,137.8,115
3,14739036,1329592,C1=CC=C(C=C1)CNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,14,,,=,7.44,3.48,15.88,-0.9383,41,0.9846,7,38.77,234.2,225.6,227.8,219.3,223.3,197.1,177.2,154.9,143.4
4,14740115,1331726,CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,9,,,=,8.54,2.7,27.02,-1.063,41,0.9554,7,37.2,232,232.3,241.2,248.4,241.5,201.9,190.9,164.3,145.7
5,17401712,611216,CC1=NN(C2=CC=CC3=C(C=CC1=C32)OC)C,Active,41,,,=,2.01,0.8,5.06,-0.6206,41,0.9876,7,37.19,244.4,245,243.9,227.4,208.4,196.1,172.3,172.8,153.5
6,17403649,5759067,C1CC(OC1)CN2C(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4Cl)/SC2=S,Active,55,,,=,2.33,1.75,3.12,-1.278,53,0.9942,7,52.63,260.3,257.5,256.7,239.2,222.6,172.5,139.7,119.4,123.3
7,22404720,6311834,C1CC(OC1)CNC(=O)C2=C(C3=C(S2)N=C4/C(=C/C5=CC=CO5)/CCC4=C3C6=CC=CO6)N,Active,44,,,=,5.26,2.88,9.61,-0.8009,56,0.9927,7,50.85,222.8,221.4,222.4,209.8,193.7,182,139.7,122.9,109.5
8,22404884,7125637,C1CC1NC(=O)C2=C(C3=C(S2)N=C4/C(=C\C5=CC=CO5)/CCC4=C3C6=CC=CO6)N,Active,58,,,=,4.67,2.34,9.31,-0.7537,65,0.9915,7,57.51,234.2,235,234.5,231.3,195.8,180.2,139.5,111.8,99.5
9,22410442,2407524,COC1=CC(=CC(=C1O)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)O)OC)/CC2,Active,38,,,=,5.13,2.16,12.17,-0.6764,51,0.9909,7,46.48,258.2,241.8,251.3,236.6,222.2,195.2,177.7,152.6,138.2
