PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Hill Slope,Response Range,Chi Square,Rsquare,Number of DataPoints,Excluded Points,Inhibition at 0.003 uM [1],Inhibition at 0.003 uM [2],Inhibition at 0.003 uM [3],Inhibition at 0.010 uM [1],Inhibition at 0.010 uM [2],Inhibition at 0.010 uM [3],Inhibition at 0.031 uM [1],Inhibition at 0.031 uM [2],Inhibition at 0.031 uM [3],Inhibition at 0.092 uM [1],Inhibition at 0.092 uM [2],Inhibition at 0.092 uM [3],Inhibition at 0.275 uM [1],Inhibition at 0.275 uM [2],Inhibition at 0.275 uM [3],Inhibition at 0.828 uM [1],Inhibition at 0.828 uM [2],Inhibition at 0.828 uM [3],Inhibition at 2.5 uM [1],Inhibition at 2.5 uM [2],Inhibition at 2.5 uM [3],Inhibition at 7.4 uM [1],Inhibition at 7.4 uM [2],Inhibition at 7.4 uM [3],Inhibition at 22.3 uM [1],Inhibition at 22.3 uM [2],Inhibition at 22.3 uM [3],Inhibition at 67.0 uM [1],Inhibition at 67.0 uM [2],Inhibition at 67.0 uM [3]
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Activity Qualifier identifies if the resultant data IC50 came from a fitted curve or was determined manually to be less than or greater than its listed IC50 concentration.,The concentration at which 50 percent of the activity in the inhibitor assay is observed; (IC50) shown in micromolar.,Log10 of the qualified IC50 (IC50) from the inhibitor assay in M concentration,The maximal or asymptotic response above the baseline as concentration increases without bound.,"Adjustable baseline of the curve fit, minimal response value.",The concentration value for the inflection point of the curve.,"The variable HillSlope describes the steepness of the curve. This variable is called the Hill slope, the slope factor, or the Hill coefficient. If it is positive, the curve increases as X increases. If it is negative, the curve decreases as X increases. A standard sigmoid dose-response curve (previous equation) has a Hill Slope of 1.0. When HillSlope is less than 1.0, the curve is more shallow. When HillSlope is greater than 1.0, the curve is steeper. The Hill slope has no units.",The range of Y.,"A measure for the 'goodness' of a fit. The chi-square test (Snedecor and Cochran, 1989) is used to test if a sample of data came from a population with a specific distribution.",This statistic measures how successful the fit explains the variation of the data; R-square is the square of the correlation between the response values and the predicted response values.,Overall number of data points of normalized percent inhibition that was used for calculations (includes all concentration points); in some cases a data point can be excluded as outlier.,Flags to indicate which of the dose-response points were excluded from analysis. (1) means the point was excluded and (0) means the point was not excluded.,Value of % inhibition at 0.003 uM compound concentration; replicate [1],Value of % inhibition at 0.003 uM compound concentration; replicate [2],Value of % inhibition at 0.003 uM compound concentration; replicate [3],Value of % inhibition at 0.010 uM compound concentration; replicate [1],Value of % inhibition at 0.010 uM compound concentration; replicate [2],Value of % inhibition at 0.010 uM compound concentration; replicate [3],Value of % inhibition at 0.031 uM compound concentration; replicate [1],Value of % inhibition at 0.031 uM compound concentration; replicate [2],Value of % inhibition at 0.031 uM compound concentration; replicate [3],Value of % inhibition at 0.092 uM compound concentration; replicate [1],Value of % inhibition at 0.092 uM compound concentration; replicate [2],Value of % inhibition at 0.092 uM compound concentration; replicate [3],Value of % inhibition at 0.275 uM compound concentration; replicate [1],Value of % inhibition at 0.275 uM compound concentration; replicate [2],Value of % inhibition at 0.275 uM compound concentration; replicate [3],Value of % inhibition at 0.828 uM compound concentration; replicate [1],Value of % inhibition at 0.828 uM compound concentration; replicate [2],Value of % inhibition at 0.828 uM compound concentration; replicate [3],Value of % inhibition at 2.5 uM compound concentration; replicate [1],Value of % inhibition at 2.5 uM compound concentration; replicate [2],Value of % inhibition at 2.5 uM compound concentration; replicate [3],Value of % inhibition at 7.4 uM compound concentration; replicate [1],Value of % inhibition at 7.4 uM compound concentration; replicate [2],Value of % inhibition at 7.4 uM compound concentration; replicate [3],Value of % inhibition at 22.3 uM compound concentration; replicate [1],Value of % inhibition at 22.3 uM compound concentration; replicate [2],Value of % inhibition at 22.3 uM compound concentration; replicate [3],Value of % inhibition at 67.0 uM compound concentration; replicate [1],Value of % inhibition at 67.0 uM compound concentration; replicate [2],Value of % inhibition at 67.0 uM compound concentration; replicate [3]
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.003,0.01,0.01,0.01,0.031,0.031,0.031,0.092,0.092,0.092,0.275,0.275,0.275,0.828,0.828,0.828,2.5,2.5,2.5,7.4,7.4,7.4,22.3,22.3,22.3,67,67,67
1,124755607,53301435,CN1C2=C(C=C(C=C2)C3=CC4=C(C=C3)OCO4)C(=C1C5=CC=C(C=C5)OC)SC6=CC=CC=C6,Active,100,,,=,2.873,-5.542,87.9771,0.901815,2.656,2.97522,87.0753,753.201,0.990003,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.1,-13.3,2.5,5,-3.6,-3.5,6,4.2,8,-9.6,3.2,4.7,11.5,5.3,5.4,5,-0.6,0.9,41.4,37.7,43.5,84.4,84.7,82.8,89.7,90.2,91,88.1,88.6,87.9
2,87348582,1943710,CCCCC1=NC2=C(C3=C1CCC3)C4=C(S2)C(=NC=N4)SCC(=O)NCC5=CC=CO5,Active,99,,,=,3.284,-5.484,64.5369,-2.51974,1.76,2.36312,67.0566,-132.31,0.990059,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.4,-4.5,3,-5.8,0.4,5.1,-10.2,-9.6,-2.8,-7.1,4.4,0.5,-2.2,-0.5,2,3.5,5.3,10.9,39,45.1,42.5,60.9,60,60,62.8,62,63.5,60,61,61.5
3,14742160,2014844,CC1=NC2=C(C(=N1)SCC(=O)NCCC3=CC=CC=C3)OC4=CC=CC=C42,Active,99,,,=,3.425,-5.465,69.7501,1.00645,2.423,2.48336,68.7436,320.685,0.990384,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.6,-6.3,-1.3,0.7,1,4.3,3.9,-3.7,-0.8,1.1,7.4,4.9,11.4,1.9,5.3,-1.3,8.7,0.2,36.2,38.7,39.4,63.2,64.2,65,71.1,70.9,72.5,72,71,72.3
4,14738001,9551239,CC1=CC(=CC=C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=CC=CC4=NSN=C43,Active,97,,,=,4.285,-5.368,71.3428,4.19335,4.178,23.0719,67.1495,137.717,0.978256,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.8,13,1.6,10,5.4,0.3,5,1.3,6.5,2.9,-6.7,11.5,0.1,10,9.3,3.6,7.5,-6,2.2,-0.1,6.9,77.7,80.2,79.7,83.1,82.8,83.5,63.8,66,63
5,14739343,2197541,CC(C)C1=CC=C(C=C1)C2=C(C(=NC(=C2C#N)SCC(=O)N3CCCCC3)N)C#N,Active,94,,,=,6.046,-5.219,88.1935,-0.205576,5.006,1.47779,88.3991,-459.825,0.990306,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-11.4,0.9,1.7,5.3,3.5,4.3,-2.2,7,5.2,-4.9,-2.1,1.9,-6,4.8,-2.4,3.2,1.6,2.4,19.2,28.4,29.2,54.3,54.2,56.7,79.8,79.3,79.9,86.5,86.3,85.9
