PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE
RESULT_TYPE,,,,,,,,INTEGER
RESULT_DESCR,,,,,,,,Percent Inhibition calculated with linear normalized Negative Controls.
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,846593,648983,CC1(CC(=O)N=C2N1C=CC=C2)C(=O)N(CC3=CC=CO3)CC(=O)NC4CCCC4,Active,88,,,88
2,849486,135417056,CC(=NCCCN1C=CN=C1)C2=C(C3=CC=CC=C3C2=O)O,Active,87,,,87
3,855944,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,54,,,54
4,857742,659099,C1CSC(=N1)NC(=O)NC23CC4CC(C2)CC(C4)C3,Active,84,,,84
5,858057,659413,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCC5=CC=CO5,Active,48,,,48
6,859755,661059,CC1=CC=C(C=C1)C2=CC(=NC(=C2C#N)N)C3=CC=C(O3)C,Active,85,,,85
7,862610,663844,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCCCN5C=CN=C5,Active,88,,,88
8,864135,6400963,CC1=CC2=C(C=C1)N(C3=C2N=NC(=N3)SC)CC4=CC=CC=C4,Active,48,,,48
9,4244617,6602921,CCN(CC)C1=CC2=C(C=C1)NCCC2.Cl,Active,41,,,41
10,4251898,3245527,COC1=CC=C(C=C1)N2CCN(CC2)CCCNC(=O)CCCN3C(=O)C4=C(C=CS4)NC3=O,Active,62,,,62
11,4257450,1255986,CN(C)S(=O)(=O)N(CC(=O)NC1=CC=CC=C1C(F)(F)F)C2=CC=CC=C2,Active,86,,,86
