Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL343296;;None;239.28;0;0.69;33;OC1C[n+]2cc3ccccn3c2-c2cccc[n+]21;IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL3904423;;None;862.29;2;8.18;BDBM232388;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4c(N(C)C)ccc(Br)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';30.0;nM;7.52;;405186;UO_0000065;8.72;0.18;-0.66;6.02;0;CHEMBL3888503;Fluorescence Polarization Assay (FPA): The assays were performed in black flat-bottom 384-well plates. The final assay volume was 50 μl prepared from additions of Gst-Bcl-2 (Bcl-2: GENBANK® Accession No. P10415), fluoresceinated 18-mer BIM peptide (NH2-YYANFEDGIRRLEQAIWI-[FAM]) (SEQ ID NO: 1), and test compounds in assay buffer consisting of 20 mM Sodium Phosphate, 1 mM EDTA, 50 mM NaCl, and 0.05% Pluronic Acid. The reaction was incubated at room temperature for 60 minutes and fluorescence polarization of the reaction was detected on the LJL Plate Reader. Inhibition data were calculated from mP values generated by the no protein control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentrations of reagents in the assay were 4.9 nM BCL-2, 5 nM fluoresceinated 18-mer BIM peptide and 1% DMSO.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886736;37;BindingDB Patent Bioactivity Data;;2016;None;;;;30.0
CHEMBL2031009;;None;746.72;2;6.91;BDBM50384340;CCCN(CCC)c1ncc(Cl)c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(Cl)c4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1;IC50;'=';8.78;nM;8.06;;405267;UO_0000065;10.79;0.22;1.15;6.07;0;CHEMBL3888503;Fluorescence Polarization Assay (FPA): The assays were performed in black flat-bottom 384-well plates. The final assay volume was 50 μl prepared from additions of Gst-Bcl-2 (Bcl-2: GENBANK® Accession No. P10415), fluoresceinated 18-mer BIM peptide (NH2-YYANFEDGIRRLEQAIWI-[FAM]) (SEQ ID NO: 1), and test compounds in assay buffer consisting of 20 mM Sodium Phosphate, 1 mM EDTA, 50 mM NaCl, and 0.05% Pluronic Acid. The reaction was incubated at room temperature for 60 minutes and fluorescence polarization of the reaction was detected on the LJL Plate Reader. Inhibition data were calculated from mP values generated by the no protein control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentrations of reagents in the assay were 4.9 nM BCL-2, 5 nM fluoresceinated 18-mer BIM peptide and 1% DMSO.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886736;37;BindingDB Patent Bioactivity Data;;2016;None;;;;8.78
CHEMBL2031003;;None;704.90;2;6.35;4e;CCCCN(CCCC)c1nccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CN)n1;IC50;'=';430.0;nM;6.37;;;UO_0000065;9.03;0.17;0.02;4.59;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.43
CHEMBL2031017;;None;866.22;2;7.95;17;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(I)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';35.0;nM;7.46;;;UO_0000065;8.61;0.19;-0.49;6.13;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;35.0
CHEMBL2031018;;None;866.22;2;7.95;18;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(I)cc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';37.0;nM;7.43;;;UO_0000065;8.58;0.19;-0.52;6.11;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;37.0
CHEMBL2031025;;None;842.46;2;7.77;28;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2COCCCOC)c(C)c1Cl;IC50;'=';22.0;nM;7.66;;;UO_0000065;9.09;0.18;-0.11;5.46;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;22.0
CHEMBL2031028;;None;852.50;2;6.96;31;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CN2CCN(C)CC2)c(C)c1Cl;IC50;'=';140.0;nM;6.85;;;UO_0000065;8.04;0.16;-0.11;5.35;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;140.0
CHEMBL2031031;;None;742.30;2;7.14;37;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2COc3ccccc3C2)c(C)c1Cl;IC50;'=';120.0;nM;6.92;;;UO_0000065;9.32;0.18;-0.22;5.29;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;120.0
CHEMBL3703629;;None;984.63;3;9.23;BDBM156413;CN(C)[C@@H](c1ccccc1-c1ccc(Cl)cc1)C1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN4CCOCC4)CSc4ccccc4)c(S(=O)(=O)C(F)(F)F)c3)cc2)CC1;IC50;'=';24.0;nM;7.62;;363159;UO_0000065;7.74;0.16;-1.61;5.94;0;CHEMBL3887911;"Fluorescence Polarization Assay: Bcl-xL and Bcl-2 FP binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-c) may be determined using a variety of known methods. One such assay is a sensitive and quantitative in vitro binding assay using fluorescence polarization ('FP') described by Wang, J.-L.; Zhang, Z-J.; Choksi, S.; Sjam. S.; Lu, Z.; Croce, C. M.; Alnemri, E. S.; Komgold, R.; Huang, Z. Cell permeable Bcl-2 binding peptides: a chemical approach to apoptosis induction in tumor cells. Cancer Res. 2000, 60, 1498-1502). Additionally, the binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) to Bcl-2 protein in vitro was determined by a competitive binding assay based on fluorescence polarization. For example, fluorescence polarization ('FP')assays may be developed using a c-terminal 6XHIS tagged Bcl-2 (aa 1-204) and a C-terminal 6XHIS tagged Bcl-XL (aa 1-209). The tracer may be a synthetic peptide BH-3 peptide Bim conjugated to Fluorescein isothiocyanate (FITC-DLRPEIRIAQELRRIGDEFNETYTRR). Dilutions of either Bcl-2 (1.3 nM) or Bcl-XL (0.8 nM) may be added to serial dilutions of antagonist and incubated for one hour prior to the addition of 2 nM of fluorescent peptide tracer (Anaspec, Fremont, Calif.) in the assay buffer. Final assay buffer conditions may be 20 mM HEPES, pH 7.5, 1 mM DTT, 0.005% Tween-20 and 50 mM NaCl. Samples may be read after 20-minute incubation. Fluorescence polarization values may be plotted as a function of the antagonist concentration.";B;BAO_0000219;cell-based format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886500;37;BindingDB Patent Bioactivity Data;;2016;None;;;;24.0
