Metric,LR,KNN,BNB,GB,SVM,RF,ANN
Best hyperparameters,"C=1, penalty=l2, solver=liblinear","metric=manhattan, n_neighbors=11, weights=distance",alpha=1,"learning_rate=0.2, max_depth=7, min_samples_split=2, n_estimators=100","C=0.1, kernel=linear","max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=5, n_estimators=200","activation=relu, alpha=0.01, hidden_layer_sizes=(64,), learning_rate_init=0.01, max_iter=500, solver=adam"
Accuracy (CV),0.890 (±0.022),0.891 (±0.030),0.839 (±0.031),0.891 (±0.020),0.900 (±0.022),0.902 (±0.029),0.861 (±0.050)
Precision (CV),0.877 (±0.034),0.875 (±0.028),0.874 (±0.043),0.878 (±0.029),0.897 (±0.029),0.903 (±0.031),0.840 (±0.075)
Recall (CV),0.910 (±0.056),0.913 (±0.038),0.794 (±0.041),0.909 (±0.011),0.906 (±0.044),0.902 (±0.040),0.910 (±0.077)
F1-score (CV),0.891 (±0.024),0.894 (±0.030),0.831 (±0.032),0.894 (±0.019),0.901 (±0.023),0.902 (±0.029),0.868 (±0.041)
ROC AUC (CV),0.955 (±0.018),0.947 (±0.017),0.898 (±0.031),0.952 (±0.018),0.950 (±0.017),0.959 (±0.015),0.951 (±0.016)
Accuracy (Test),0.921,0.914,0.827,0.921,0.906,0.921,0.942
Precision (Test),0.915,0.914,0.897,0.928,0.890,0.928,0.956
Recall (Test),0.929,0.914,0.743,0.914,0.929,0.914,0.929
F1-score (Test),0.922,0.914,0.812,0.921,0.909,0.921,0.942
ROC AUC (Test),0.981,0.978,0.931,0.984,0.972,0.974,0.981
