Metric,LR,KNN,BNB,GB,SVM,RF,ANN
Best hyperparameters,"C=0.1, penalty=l2, solver=liblinear","metric=manhattan, n_neighbors=5, weights=distance",alpha=1,"learning_rate=0.1, max_depth=7, min_samples_split=2, n_estimators=50","C=10.0, kernel=rbf","max_depth=20, max_features=sqrt, min_samples_leaf=1, min_samples_split=2, n_estimators=100","activation=logistic, alpha=0.01, hidden_layer_sizes=(64,), learning_rate_init=0.1, max_iter=500, solver=adam"
Accuracy (CV),0.804 (±0.029),0.767 (±0.039),0.768 (±0.036),0.800 (±0.020),0.802 (±0.027),0.794 (±0.036),0.773 (±0.029)
Precision (CV),0.816 (±0.033),0.786 (±0.056),0.875 (±0.044),0.805 (±0.052),0.831 (±0.053),0.843 (±0.051),0.765 (±0.037)
Recall (CV),0.793 (±0.037),0.747 (±0.033),0.633 (±0.070),0.808 (±0.049),0.770 (±0.032),0.732 (±0.051),0.804 (±0.096)
F1-score (CV),0.804 (±0.029),0.765 (±0.036),0.732 (±0.050),0.804 (±0.016),0.798 (±0.023),0.782 (±0.040),0.780 (±0.040)
ROC AUC (CV),0.867 (±0.019),0.867 (±0.030),0.835 (±0.016),0.868 (±0.026),0.862 (±0.019),0.886 (±0.021),0.862 (±0.020)
Accuracy (Test),0.829,0.814,0.783,0.798,0.783,0.829,0.783
Precision (Test),0.841,0.815,0.863,0.800,0.776,0.852,0.747
Recall (Test),0.815,0.815,0.677,0.800,0.800,0.800,0.862
F1-score (Test),0.828,0.815,0.759,0.800,0.788,0.825,0.800
ROC AUC (Test),0.887,0.896,0.875,0.871,0.885,0.902,0.857
